X values,≤ 15Å,X values,≤ 10Å,X values,≤ 8Å,X values,≤ 6Å,X values,≤ 4Å
2002,5,2002,1,2002,0,2002,0,2002,0
2003,15,2003,4,2003,1,2003,0,2003,0
2004,15,2004,8,2004,4,2004,2,2004,0
2005,30,2005,12,2005,5,2005,1,2005,1
2006,42,2006,10,2006,4,2006,0,2006,0
2007,59,2007,33,2007,7,2007,1,2007,0
2008,29,2008,19,2008,8,2008,4,2008,1
2009,90,2009,49,2009,28,2009,6,2009,1
2010,120,2010,76,2010,42,2010,16,2010,6
2011,113,2011,68,2011,37,2011,14,2011,6
2012,174,2012,92,2012,41,2012,11,2012,4
2013,197,2013,131,2013,75,2013,43,2013,7
2014,258,2014,185,2014,130,2014,74,2014,36
2015,131,2015,113,2015,92,2015,62,2015,36